fecha_ho_1,fecha_no,latitud,longitud,geometry
2021-12-02,2020-10-03,6.275069266055342,-75.54251689309571,POINT (-75.54251689309571 6.275069266055342)
2021-12-01,2018-06-08,6.266712389000019,-75.539839481,POINT (-75.539839481 6.266712389000019)
2021-11-30,2022-07-30,6.269628048000021,-75.541203219,POINT (-75.541203219 6.269628048000021)
2021-12-01,2021-03-16,6.282254964,-75.540302617,POINT (-75.540302617 6.282254964)
2021-12-01,2016-09-10,6.305521058000011,-75.585304721,POINT (-75.585304721 6.305521058000011)
2021-11-30,2023-02-03,6.290943071233513,-75.6078429331206,POINT (-75.6078429331206 6.290943071233513)
2021-11-30,2017-07-30,6.274260098000011,-75.627731223,POINT (-75.627731223 6.274260098000011)
2021-12-01,2022-05-07,6.292662475999979,-75.539282564,POINT (-75.539282564 6.292662475999979)
2021-11-30,2024-11-17,6.272755858999969,-75.540563688,POINT (-75.540563688 6.272755858999969)
2021-11-30,2016-12-23,6.29327921100003,-75.590787864,POINT (-75.590787864 6.29327921100003)
2021-11-30,2024-12-26,6.264569607000001,-75.624730766,POINT (-75.624730766 6.264569607)
2021-12-04,2020-09-12,6.284423575999992,-75.542734069,POINT (-75.542734069 6.284423576)
2021-11-30,2019-01-13,6.284500785800381,-75.54267029585394,POINT (-75.54267029585394 6.284500785800381)
2021-11-30,2019-06-14,6.2819625,-75.5895265,POINT (-75.5895265 6.2819625)
2021-11-30,2023-06-02,6.287698726076649,-75.60838982286019,POINT (-75.60838982286019 6.287698726076649)
2021-11-30,2016-03-19,6.264685394000031,-75.62465179,POINT (-75.62465179 6.264685394000031)
2021-11-30,2016-01-22,6.28987364099999,-75.592337797,POINT (-75.592337797 6.289873641)
2021-11-30,2019-11-02,6.28496752400002,-75.589989641,POINT (-75.589989641 6.28496752400002)
2021-12-21,2019-03-13,6.288324923,-75.547834022,POINT (-75.547834022 6.288324923)
2021-12-21,2017-01-02,6.289255412833296,-75.60036599340374,POINT (-75.60036599340374 6.289255412833296)
2021-12-27,2016-02-14,6.288160119,-75.599477593,POINT (-75.599477593 6.288160119)
2021-03-23,2017-09-22,6.295143098999971,-75.540261148,POINT (-75.540261148 6.295143098999971)
2021-12-29,2023-12-08,6.278579272999989,-75.562515063,POINT (-75.562515063 6.278579272999989)
2022-01-06,2018-08-24,6.356509549492649,-75.71264209364689,POINT (-75.71264209364689 6.356509549492649)
2021-11-30,2017-09-03,6.27917931899998,-75.557473714,POINT (-75.557473714 6.27917931899998)
2021-12-01,2016-06-12,6.23773984600001,-75.56291905200001,POINT (-75.56291905200001 6.23773984600001)
2022-02-19,2016-06-30,6.266047793138785,-75.53461403912581,POINT (-75.53461403912581 6.266047793138785)
2022-02-20,2024-07-05,6.2999933,-75.5414989,POINT (-75.5414989 6.2999933)
2022-02-21,2016-12-04,6.23196871,-75.52059102,POINT (-75.52059102 6.23196871)
2022-02-20,2024-11-02,6.234672829220483,-75.53341481181177,POINT (-75.53341481181177 6.234672829220483)
2022-03-20,2019-07-29,6.224328087999993,-75.626559313,POINT (-75.626559313 6.224328088)
2022-02-22,2018-09-06,6.265768648814519,-75.53469775629904,POINT (-75.53469775629904 6.265768648814519)
2019-10-01,2016-10-25,6.28842081499999,-75.549009353,POINT (-75.549009353 6.288420815)
2022-02-20,2018-09-03,6.287917627000011,-75.542783747,POINT (-75.542783747 6.287917627000011)
2022-03-01,2023-01-09,6.289740096,-75.542485208,POINT (-75.542485208 6.289740096)
2022-03-01,2019-03-15,6.261843634,-75.539493588,POINT (-75.539493588 6.261843634)
2021-06-13,2019-02-26,6.252781989000029,-75.546325316,POINT (-75.546325316 6.252781989000029)
2022-03-05,2021-09-10,6.271971064000011,-75.615801698,POINT (-75.615801698 6.271971064000011)
2022-03-06,2020-11-27,6.179607991999998,-75.659681367,POINT (-75.659681367 6.179607992)
2022-03-05,2016-05-03,6.272493712113016,-75.59833128647547,POINT (-75.59833128647547 6.272493712113016)
2022-03-05,2017-04-10,6.297869924757101,-75.6624112807558,POINT (-75.6624112807558 6.297869924757101)
2022-03-06,2018-02-11,6.275571748000001,-75.61184560500001,POINT (-75.61184560500001 6.275571748)
2022-03-06,2024-05-30,6.283495,-75.606913,POINT (-75.606913 6.283495)
2022-03-06,2018-04-03,6.27245868599999,-75.615053506,POINT (-75.615053506 6.272458686)
2022-03-07,2021-01-09,6.268929055633835,-75.60004061584715,POINT (-75.60004061584715 6.268929055633835)
2022-02-05,2018-06-30,6.27498331100003,-75.54379974,POINT (-75.54379974 6.27498331100003)
2022-03-07,2023-03-18,6.180952418679803,-75.65750122427376,POINT (-75.65750122427376 6.180952418679803)
2022-03-06,2023-07-06,6.188142263923336,-75.65038765104018,POINT (-75.65038765104018 6.188142263923336)
2022-04-06,2016-11-27,6.24646384300002,-75.620999859,POINT (-75.620999859 6.24646384300002)
2022-03-15,2023-05-11,6.204840433410381,-75.49815984912019,POINT (-75.49815984912019 6.204840433410381)
2022-03-16,2019-11-10,6.28899057299998,-75.540376042,POINT (-75.540376042 6.28899057299998)
2022-03-17,2022-06-23,6.27300227900002,-75.599325961,POINT (-75.599325961 6.27300227900002)
2022-03-27,2021-10-17,6.27620079000002,-75.59541657500002,POINT (-75.59541657500002 6.27620079000002)
2022-03-27,2020-05-22,6.27208233629879,-75.61396443555147,POINT (-75.61396443555147 6.27208233629879)
2022-03-27,2023-08-24,6.278929252769003,-75.5476445061864,POINT (-75.5476445061864 6.278929252769003)
2022-03-28,2016-03-23,6.273408863411725,-75.54599141544094,POINT (-75.54599141544094 6.273408863411725)
2022-03-28,2021-11-12,6.275506932999969,-75.537237417,POINT (-75.537237417 6.275506932999969)
2021-11-30,2020-08-25,6.271878575657562,-75.5420048042253,POINT (-75.5420048042253 6.271878575657562)
2022-03-28,2022-07-02,6.196908081,-75.642884323,POINT (-75.642884323 6.196908081)
2022-03-29,2019-05-08,6.187778296365436,-75.64786362604563,POINT (-75.64786362604563 6.187778296365436)
2022-03-29,2017-10-09,6.272481445940095,-75.61446381084812,POINT (-75.61446381084812 6.272481445940095)
2022-03-29,2017-11-08,6.190815000597753,-75.57465386011896,POINT (-75.57465386011896 6.190815000597753)
2022-03-29,2024-12-17,6.183740084123487,-75.63963576087866,POINT (-75.63963576087866 6.183740084123487)
2022-03-29,2021-04-18,6.27198694600003,-75.612708379,POINT (-75.612708379 6.27198694600003)
2022-03-29,2016-12-06,6.252875453812189,-75.63012710565836,POINT (-75.63012710565836 6.252875453812189)
2022-03-29,2018-12-04,6.2721558878567265,-75.61502251181898,POINT (-75.61502251181898 6.272155887856727)
2022-03-29,2016-04-07,6.2721977273791945,-75.61385196538161,POINT (-75.61385196538161 6.272197727379194)
2022-03-29,2020-03-29,6.275314714085046,-75.60681532465722,POINT (-75.60681532465722 6.275314714085046)
2022-03-30,2021-02-19,6.266987169,-75.654869357,POINT (-75.654869357 6.266987169)
2022-03-29,2017-08-02,6.27493275,-75.63002585,POINT (-75.63002585 6.27493275)
2022-03-29,2023-08-15,6.272062048228952,-75.61421863780733,POINT (-75.61421863780733 6.272062048228952)
2022-03-30,2018-06-10,6.24910417299998,-75.624314739,POINT (-75.624314739 6.24910417299998)
2022-04-01,2016-12-05,6.258749650210431,-75.62076146769827,POINT (-75.62076146769827 6.258749650210431)
